Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
944252,1.038186886,3.019093807,1.205251325,-2.112171109,3.376790413,1.13365228,1.014320537,3.663483759,3.735082804,5.071598317,5.047731969,5.95465321,5.859187816,6.455846527,6.789975405,6.575178269,1.778043688,3.615751062,2.875895716,6.431980179,2.016707172,4.880667529,7.911693782,4.451073257,5.33412815,-3.138424093,2.398568747,1.778043688,6.384247482,4.116944379,0.608592614,7.935560131,2.398568747,7.17183698,0.489260872,3.997612637,4.355607864
1028243,3.973746288,1.634845597,4.355607864,3.926013591,6.121717649,6.264915739,-0.369927673,7.02863889,2.446301444,-2.088304761,4.880667529,7.219569677,8.937946766,3.63961741,4.26014247,-0.369927673,5.78758877,6.599044618,6.503579224,8.221956312,6.169450346,6.933173496,6.837708102,6.360381133,7.601431253,6.312648436,6.980906193,5.310261801,6.026252255,6.026252255,4.928400226,3.735082804,5.405727195,4.642004045,4.355607864,6.933173496,7.267302374
1029440,2.016707172,4.784904972,-1.706443186,-3.377087577,-1.229116217,4.522375139,2.947494762,-3.591884713,1.849642733,7.076074423,2.732697626,-3.568018365,1.634845597,-0.847254642,4.761038623,-2.756562517,0.226731039,-1.515512398,6.527148408,-4.236276121,-6.479712875,2.708831277,2.637232232,-0.011932446,4.49850879,-3.138424093,1.348449416,6.718079196,6.025955091,6.216885879,-2.470166336,0.871122447,-3.520285668,-4.976132923,5.166766547,3.162291898,-0.083531491
1509770,-4.665871122,3.042959427,0.608591885,1.897374702,4.618138425,6.909307876,1.062052506,0.751789976,-3.544152745,5.262529833,4.618138425,1.348448687,-3.902147971,1.085918854,0.823389021,3.377088305,5.167064439,-0.22673031,1.085918854,-3.138424821,-0.727923628,-1.587112172,1.563245823,-2.207637232,0.894988067,4.904534606,2.756563246,2.661097852,-1.968973747,6.288782816,-3.257756563,-3.854415274,1.849642005,3.973747017,0.22673031,4.331742243,6.599045346
1509852,3.877983731,4.164678533,4.427208366,-3.281920804,6.073986409,1.730309534,4.331742972,4.522673759,-2.42273226,-4.904832499,1.443913353,2.995226002,3.209725974,2.422433639,0.322194976,-0.035800251,-0.083532948,-2.804593835,0.202863233,-2.088603382,-2.756861138,-1.993137988,0.393794021,5.692124833,6.599046074,-5.716288346,-3.711515076,-3.80698047,-5.716288346,0.131264188,-3.472851592,1.897373973,7.028640346,7.720764451,0.990452732,2.207636503,2.207636503
1526139,0.894988067,0.751789976,1.30071599,1.324582339,7.887828162,5.095465394,-2.565632458,6.264916468,-2.923627685,-0.274463007,0.656324582,0.727923628,5.023866348,1.133651551,0.823389021,1.276849642,3.520286396,4.976133652,1.133651551,6.097852029,-0.465393795,5.334128878,6.050119332,6.360381862,3.281622912,-0.656324582,3.782816229,-1.062052506,3.61575179,2.875894988,0.990453461,1.658711217,6.503579952,3.090692124,-7.959427208,-0.346062053,1.563245823
1531673,1.13365228,5.357697334,0.632458962,1.062053234,4.904533878,2.494034141,3.926013591,3.162291898,2.756563974,7.171539816,2.780430323,4.976132923,7.601431253,5.930786861,6.312648436,1.13365228,3.544152016,-0.942720035,-0.274462279,3.019093807,0.966587841,1.515513855,6.789975405,0.632458962,4.594271348,4.785202136,5.167063711,4.427206909,5.429593544,5.477326241,3.830548198,3.687350107,4.832934833,2.183771611,0.393795478,0.250597387,NA
1557143,5.930787589,6.050119332,4.832935561,3.639618138,5.76372315,5.047732697,-2.183770883,-4.546539379,-0.322195704,-2.661097852,5.429594272,6.933174224,-0.894988067,1.205250597,-3.854415274,-3.186157518,5.477326969,-2.85202864,-4.904534606,3.949880668,3.878281623,3.949880668,-3.162291169,-0.465393795,3.472553699,4.809069212,-4.427207637,-2.708830549,-4.618138425,1.587112172,3.520286396,3.687350835,2.923627685,3.830548926,-4.642004773,-3.782816229,-2.947494033
1563043,1.945107399,3.424821002,2.899761337,7.219570406,7.362768496,5.978520286,2.780429594,5.381861575,3.782816229,-0.202863962,8.770883055,3.830548926,4.045346062,1.945107399,1.778042959,2.99522673,5.429594272,2.661097852,1.61097852,4.427207637,6.622911695,5.047732697,4.642004773,1.324582339,0.274463007,0.894988067,-0.059665871,-1.801909308,-0.727923628,-1.372315036,-0.704057279,0.369928401,-2.398568019,5.477326969,2.23150358,4.331742243,5.31026253
1563047,3.377088305,3.639618138,1.443914081,3.138424821,1.30071599,-1.205250597,1.038186158,4.570405728,-0.799522673,0.584725537,3.210023866,1.778042959,0.489260143,-2.183770883,-2.136038186,5.167064439,-2.064439141,-0.53699284,0.107398568,-1.443914081,-3.806682578,4.761336516,3.186157518,0.823389021,-3.568019093,-2.016706444,2.112171838,2.279236277,-3.591885442,-5.095465394,2.613365155,3.878281623,-3.042959427,4.403341289,-0.704057279,3.687350835,1.992840095
