Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
1,NA,7.749228395,3.69058642,NA,8.864969136,NA,2.235339506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944252,7.851239039,7.884813419,7.669421109,7.826445398,7.90082632,-1.363636994,7.999999622,5.099172671,-1.933884424,5.61983408,6.066115829,5.851239291,-1.264463693,-1.396694341,5.454544824,5.57024806,-3.322315689,-3.28925582,2.942148634,-3.347108069,3.958677812,4.157024415,-1.96694177,3.933884171,-5.867769226,-5.586777994,1.884297142,3.198346225,-1.603305911,2.107437386,3.297520787,2.628098795,2.620350861,-5.611570374,NA,NA,NA
953758,3.590361446,0.873493976,-2.277108434,-2.198795181,1.156626506,1.042168675,9.072289157,8.668674699,6.578313253,8.777108434,5.530120482,3.63253012,1.686746988,3.162650602,1.65060241,4.909638554,2.337349398,-4.379518072,8.469879518,4.114457831,6.698795181,6.680722892,7.289156627,6.548192771,1.421686747,-2.837349398,-1.457831325,8.837349398,8.385542169,8.512048193,5.939759036,5.921686747,8.746987952,3.331325301,NA,NA,NA
1028243,4.368530021,6.347825581,5.925725143,5.999999747,4.252846285,4.327122153,8.128363884,8.534420795,4.997930112,7.971014493,1.91718376,1.660455739,5.892339039,5.387163814,2.97722542,7.805383023,4.484471544,6.049948746,8.80771171,6.116200323,6.604554865,3.035455234,7.28364364,-1.055900621,3.904761399,-1.32091072,-1.246377064,3.548912538,8.01242236,8.252846538,7.250776903,5.503105337,5.577640257,5.569358178,NA,NA,NA
1029440,5.661156394,2.471074506,1.305784746,5.264461927,8.272727147,4.677685824,6.280991105,-1.247933758,8.768594915,3.388429122,-0.504132105,2.504131853,2.314048956,-0.380165163,-1.297521039,3.652891679,4.512396568,7.35537127,6.975206738,-2.611571383,7.380164911,6.00826358,8.148760204,8.553718378,5.694215002,-1.917357011,3.570247051,3.066115576,2.35537127,8.917871901,7.256197969,4.27272639,4.842975081,3.388429122,NA,NA,NA
1035571,5.81027668,3.305335968,2.816205534,5.054347826,3.577075099,5.736166008,5.523715415,6.615612648,8.221343874,3.81916996,2.104743083,-1.190711462,-1.007905138,1.744071146,-1.867588933,-4.293478261,7.075098814,-5.785573123,1.472332016,-2.416007905,-4.051383399,-2.840909091,5.286561265,4.599802372,3.47826087,1.803359684,0.918972332,4.698616601,4.960474308,1.151185771,4.02173913,7.050395257,7.43083004,-3.216403162,NA,NA,NA
1107838,6.22260274,8.368150685,8.680650685,6.327054795,4.86130137,4.28510274,2.430650685,-3.922945205,8.445205479,7.14640411,5.291952055,6.715753425,7.75,5.729452055,0.153253425,-1.145547945,0.22260274,3.8125,9.014554795,-1.617294521,5.75,1.507705479,5.541952055,-4.422945205,-1.333047945,3.979452055,0.95890411,3.215753425,9.72260274,9.17380137,-2.40239726,3.854452055,-6,2.42380137,NA,NA,NA
1504349,7.191650854,7.177419355,6.973434535,-1.124288425,7.324478178,0.365275142,0.5028463,7.092030361,-5.407969639,2.509487666,4.468690702,5.782732448,8.159392789,5.830170778,5.815939279,-3.837760911,1.499051233,9.302656546,-4.753320683,4.871916509,5.730550285,6.627134725,4.487666034,7.699240987,6.394686907,-1.85483871,0.407969639,4.112903226,7.70398482,8.790322581,5.398481973,7.888994307,2.713472486,8.733396584,NA,NA,NA
1509770,5.907335907,-5.96042471,5.646718147,-5.950772201,6.042471042,4.753861004,8.909266409,7.195945946,8.841698842,4.078185328,9.198841699,6.713320463,8.011583012,9.58011583,9.102316602,2.446911197,6.911196911,0.834942085,5.337837838,-1.085907336,-0.945945946,7.07046332,5.627413127,8.47007722,9.768339768,9.058880309,3.832046332,6.636100386,-0.55984556,4.638030888,5.897683398,2.794401544,5.791505792,8.325289575,NA,NA,NA
1509852,8.704452824,-0.898785302,0.226720277,5.805667151,8.753036314,8.744938653,2.502024415,-4.307693914,8.842104398,-1.327935346,5.060728127,1.327935346,6.90688222,4.064776463,6.93927039,2.80161931,5.222671447,4.000000124,7.878542139,6.412954601,-0.234817937,1.295545941,5.457490002,5.530364002,6.291497111,0.858299472,7.327934605,7.15789486,8.850202058,8.882590228,8.834007974,4.048582378,3.959514294,7.51416967,NA,NA,NA
