uid,skill,x,y
944252,Abductive reasoning,1.109785931,7.892720307
944252,Active listening,3.066826504,7.923371764
944252,Clarifying,1.085919583,-1.241379661
944252,Critiquing,1.443914809,5.18821804
944252,Decision making,3.520285668,5.869731684
944252,Deductive reasoning,5.071598317,8.161398935
944252,Defining the problem,7.124104284,8.38362069
944252,Delegation,5.548925286,5.693486239
944252,Digging deep,3.019093807,-0.942528385
944252,Drawing,7.816228389,5.524904098
944252,Explaining in simple terms,1.062053234,3.67863973
944252,Facilitating,1.252984022,-2.957855458
944252,Goal setting,3.758949152,3.778256822
944252,Identifying core components,5.548925286,3.808907695
944252,Identifying key insights,4.737469439,-0.796934983
944252,Identifying known and unknown,1.014320537,1.762930918
944252,Identifying obstacles,4.570405,1.869731918
944252,Identifying patterns,7.195703329,2.130267848
944252,Improvising,-7.744629343,7.218869381
944252,Inductive reasoning,3.210024595,-2.904214676
944252,Mentoring,-7.577564904,5.862547776
944252,Observing,5.119331014,-2.881227106
944252,Pivoting,8.031025525,6.766762569
944252,Persuading,-5.453459892,7.180555205
944252,Prioritizing,1.27685037,-4.896551841
944252,Record-keeping,1.157518628,6.475574596
944252,Reframing,4.021478985,6.812260653
944252,Representing ideas visually,6.789975405,4.659003481
944252,Story building,3.353221229,7.0272985
944252,Story telling,5.668257028,6.137930918
944252,Synthesizing information,4.307875167,5.287835132
944252,Trust building,-5.238662756,6.160919657
944252,Understanding tradeoffs,3.615751062,-4.650863121
944252,Working under time pressure,5.548925286,2.199712293
944252,Using materials creatively,1.062053234,5.141762335
944252,Physical prototyping,3.066826504,2.681992922
944252,Digital prototyping,4.307875167,3.938697435
953758,Abductive reasoning,2.207637232,8.495297806
953758,Active listening,7.195704057,2.151253918
953758,Clarifying,-0.823389021,8.315047022
953758,Critiquing,1.443914081,6.955329154
953758,Decision making,-0.441527446,7.413793103
953758,Deductive reasoning,-2.6849642,5.583855799
953758,Defining the problem,-2.589498807,2.437304075
953758,Delegation,-8.269689737,8.88322884
953758,Digging deep,2.040572792,2.068965517
953758,Drawing,7.553699284,2.840909091
953758,Explaining in simple terms,4.427207637,4.521943574
953758,Facilitating,1.324582339,4.760971787
953758,Goal setting,-0.035799523,2.805642633
953758,Identifying core components,-4.665871122,4.737460815
953758,Identifying key insights,-7.840095465,8.142633229
953758,Identifying known and unknown,-0.84725537,3.867554859
953758,Identifying obstacles,-0.560859189,5.26645768
953758,Identifying patterns,-1.92124105,4.094827586
953758,Improvising,5.859188544,6.120689655
953758,Inductive reasoning,0.513126492,6.453761755
