Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
944252,1.491647506,3.496122155,5.64439068,1.443914809,1.443914809,3.544152016,5.501192589,3.066826504,1.825776385,-8.293555358,5.453459892,1.348449416,3.615751062,5.501192589,1.348449416,4.26014247,7.362767768,3.926013591,-8.627684236,3.591884713,-7.48209951,6.217183043,-6.002385907,-6.288782088,5.978519558,-7.291168723,-3.806681849,-4.236276121,7.887827434,8.4128871,1.873509082,-1.706443186,1.5871129,6.073984952,-8.245822661,1.778043688,-4.71360309
953758,3.257756563,-1.992840095,-2.207637232,1.706443914,2.756563246,-1.062052506,-4.474940334,-4.427207637,1.276849642,7.482100239,2.112171838,-1.945107399,0.298329356,-1.109785203,1.252983294,1.372315036,0.441527446,4.665871122,4.116945107,4.069212411,2.159904535,2.016706444,-1.825775656,2.374701671,-0.441527446,-0.84725537,-1.515513126,3.782816229,-1.014319809,1.133651551,1.038186158,-0.131264916,6.670644391,1.897374702,6.957040573,5.930787589,4.594272076
1028243,3.973746288,1.634845597,4.021478985,4.021478985,5.739856074,5.883054164,-3.806681849,7.076371587,-0.083531491,-5.477326241,4.451073257,7.267302374,7.840094737,6.073984952,-0.178996885,-1.085918126,3.305488532,7.79236204,3.782815501,5.835321467,7.649163949,-1.706443186,1.491647506,1.109785931,8.031025525,-9.009546539,-5.525058938,-5.477326241,-6.336514785,-7.434366813,3.305488532,-1.085918126,-4.045345334,-5.859187816,0.20286469,4.021478985,4.021478985
1029440,1.634845597,4.164677076,-2.183770155,-6.360381133,-2.446299988,4.594271348,4.26014247,-4.474939606,2.350836051,7.601431253,3.162291898,-2.756562517,0.727924356,1.849642733,5.453459892,-3.01909235,-0.226729582,0.871122447,6.384247482,-2.541765381,-4.069211682,1.515513855,2.088306218,2.422136475,-3.424820274,-4.498805954,0.727924356,5.715989725,6.503579224,6.40811383,-2.088304761,-1.229116217,-3.711216455,-0.632457506,5.119331014,6.646777315,3.878280895
1107838,2.543604651,-3.590116279,-2.223837209,-3.066860465,-3.386627907,1.962209302,-2.252906977,-0.683139535,1.002906977,-0.770348837,-4.578488372,-5.450581395,-1.438953488,-2.311046512,0.479651163,5.566860465,3.386627907,5.85755814,0.537790698,-2.747093023,0.654069767,4.171511628,5.421511628,2.543604651,2.252906977,-1.409883721,-4.723837209,-7.136627907,-4.462209302,-5.799418605,3.735465116,4.200581395,3.938953488,0.537790698,2.456395349,0.305232558,-1.293604651
1504349,-6.622911695,1.014319809,3.687350835,0.202863962,5.62052506,-1.085918854,0.799522673,-4.474940334,7.291169451,NA,NA,-1.109785203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.673031026,NA,NA,NA,NA,NA,NA,NA,-0.298329356,NA,NA,NA,NA,NA
1509770,-3.520286396,1.229116945,1.825775656,2.54176611,5.429594272,2.756563246,1.062052506,-0.035799523,-4.880668258,3.448687351,5.572792363,1.229116945,-3.854415274,-4.37947494,-1.133651551,0.966587112,4.093078759,-2.756563246,-0.560859189,-1.730310263,-2.350835322,-2.99522673,3.997613365,-2.899761337,-7.76849642,-7.673031026,0.608591885,0.751789976,1.30071599,0.704057279,-3.92601432,-1.062052506,1.515513126,3.878281623,0.489260143,1.205250597,2.279236277
1509852,3.512295412,4.13356184,4.372510466,-3.226303775,6.092940573,1.600706404,4.707038542,4.707038542,-2.413630514,-5.519962653,1.313968052,2.843239259,3.273346786,2.174183106,0.167014647,-0.215303154,-0.26309288,-2.795948316,0.214804372,-2.174681888,-3.273845568,-2.222471613,-1.935981194,5.567253596,6.762246117,-8.43513589,-3.84732227,-3.84732227,-5.758911279,-0.024144254,-3.895111996,1.93523448,6.571087216,7.240144828,1.505126953,1.983024205,1.791865304
1526139,-7.505966587,-7.338902148,6.527446301,5.859188544,2.183770883,-5.811455847,-5.76372315,6.789976134,-5.596658711,-6.885441527,2.303102625,3.687350835,4.928400955,0.942720764,0.966587112,1.491646778,1.276849642,4.665871122,-7.935560859,-5.668257757,-7.673031026,3.496420048,6.050119332,6.217183771,2.947494033,-6.718377088,3.878281623,-3.973747017,4.642004773,3.830548926,-4.331742243,1.563245823,6.288782816,3.400954654,-8.054892601,-7.529832936,-4.23627685
1531673,0.393795478,6.145286833,2.303103354,-0.847254642,1.992840824,0.107399296,2.494034141,1.348449416,1.945108127,2.97136111,0.584726265,3.63961741,5.167063711,3.472552971,2.875895716,-0.322194976,1.778043688,-2.899760608,-4.594271348,1.157518628,-4.546538651,0.847256098,4.236276121,-2.064438412,0.417661826,3.830251034,1.706444642,1.443914809,0.966587841,-1.778042231,1.658711946,-1.133650823,0.393795478,-1.157517171,-3.233889486,-1.897373973,1.27685037
