Name,Abductive reasoning,Active listening,Clarifying,Critiquing,Decision making,Deductive reasoning,Defining the problem,Delegation,Digging deep,Drawing,Explaining in simple terms,Facilitating,Goal setting,Identifying core components,Identifying key insights,Identifying known and unknown,Identifying obstacles,Identifying patterns,Improvising,Inductive reasoning,Mentoring,Observing,Pivoting,Persuading,Prioritizing,Record-keeping,Reframing,Representing ideas visually,Story building,Story telling,Synthesizing information,Trust building,Understanding tradeoffs,Working under time pressure,Using materials creatively,Physical prototyping,Digital prototyping
944252,7.318008247,7.310344945,7.340995818,5.226532216,-2.367816209,5.51772019,5.586207013,-2.544060484,3.517241496,7.187739113,-2.32183873,-4.781609312,3.487068849,3.632184025,1.86254801,1.701149776,1.999999883,8.965996636,5.356321956,-4.536397649,3.693965166,8.475096253,6.897030534,5.088122722,-4.574711825,2.045977362,6.674329385,5.057950075,7.463601649,5.731800416,9.096264602,7.386973297,-6.452106461,6.529214209,-2.904214676,4.980843497,3.210728086
953758,7.083333333,0.316220238,-1.15327381,1.722470238,5.758928571,6.223958333,7.938988095,8.820684524,5.744047619,3.560267857,-0.558035714,3.210565476,1.770833333,2.979910714,6.77827381,1.350446429,3.988095238,5.673363095,8.727678571,7.972470238,7.931547619,0.182291667,7.254464286,8.642113095,-0.744047619,-1.618303571,4.620535714,2.883184524,8.883928571,8.723958333,3.02827381,0.427827381,8.630952381,4.572172619,0.900297619,6.722470238,4.181547619
1028243,4.39539406,6.153550981,5.915546674,6.061420697,4.134356889,4.510557208,8.034789219,8.641315248,5.024952367,8.088292215,2.168906536,1.393474205,5.915546674,5.831094401,3.059741,7.811900192,4.119242194,5.800383526,8.86372396,5.938579537,6.775432448,3.466410866,6.606765718,-1.23224533,4.364923342,-1.477926478,-0.947936309,3.420345138,7.942418778,8.318618511,6.391555288,5.693138547,5.908109991,5.017274355,7.197697323,6.959693015,5.339971092
1029440,5.55555614,2.521072914,2.32183873,7.486590389,8.283525372,4.597701734,6.735632301,-0.513410312,8.713122839,6.176245094,-1.034482174,1.762452692,2.444444561,0.980842561,1.586207247,0.544061186,3.026820508,7.540230002,8.145594104,-1.854406481,6.337165102,4.298850458,2.567050393,4.398946945,4.965516891,-3.126436431,3.777777427,3.923371998,5.678160803,6.360153841,6.275862186,8.567050042,4.038792753,9.203065602,8.237547893,7.770115059,7.87787368
1107838,6.243902439,8.37195122,8.548780488,6.237804878,5.292682927,4.640243902,2.37804878,-3.68902439,6.780487805,7.445121951,6.548780488,7.115853659,7.585365854,5.420731707,0.036585366,-0.762195122,0.243902439,3.932926829,8.93902439,-1.664634146,5.731707317,1.664634146,5.597560976,-4.274390244,-1.512195122,3.835365854,0.646341463,3.31097561,10,8.884146341,-2.353658537,3.774390244,-5.951219512,2.567073171,8.06097561,7.798780488,8.853658537
1504349,-1.563786008,6.322016461,6.059670782,-1.898148148,8.251028807,0.45781893,8.343621399,7.422839506,3.950617284,NA,NA,2.83436214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.941358025,NA,NA,NA,NA,NA,NA,NA,6.887860082,NA,NA,NA,NA,NA
1509770,5.878136201,-3.382616487,5.600358423,-5.452508961,6.075268817,4.663978495,8.987455197,7.110215054,8.924731183,4.000896057,9.435483871,6.698028674,7.903225806,9.753584229,9.274193548,2.48655914,6.630824373,0.739247312,4.704301075,-1.079749104,-0.842293907,7.28046595,5.61827957,8.54390681,10,8.875448029,3.879928315,6.590501792,-0.41218638,4.413082437,6.012544803,2.809139785,5.340501792,7.69265233,5.887096774,7.020609319,8.225806452
1509852,9.257540603,0.066705336,6.189095128,8.970417633,8.410672854,8.500580046,2.55800464,-4.034222738,8.49187935,-1.441415313,5.083139512,1.275134872,7.243329466,3.992169374,6.959106729,3.058294664,4.94199536,3.918213457,8.308681125,6.63524725,-0.23588601,1.710169675,6.070185615,5.509473619,6.341840209,-1.549691114,8.563417935,5.405065267,8.74323232,8.833139512,9.201468979,8.889211137,6.287703016,6.052784223,9.06612529,9.480858469,10
1526139,6.221033868,7.918894831,-7.139037433,-5.975935829,7.486631016,8.792335116,7.352941176,-4.8885918,5.721925134,-6.804812834,6.1942959,7.963458111,-7.058823529,4.407308378,3.25311943,-1.180926916,2.192513369,6.278966132,4.696969697,3.82798574,3.315508021,3.908199643,1.506238859,2.883244207,-5.294117647,-3.524955437,1.702317291,5.539215686,5.13368984,3.016934046,1.684491979,-3.14171123,4.86631016,-2.45543672,-4.607843137,1.831550802,2.887700535
1531673,1.98412759,1.69841282,3.83333297,6.67509957,6.27033718,5.794146704,-1.396825276,3.396825034,4.515873137,1.531745668,0.293651157,2.976191082,8.048115079,5.777777414,4.897321065,3.571924482,2.769841391,4.540178208,6.238095117,7.06398858,3.365079486,-1.928571065,2.388888768,8.016369532,4.476190597,-3.071428935,4.087797498,6.341269962,5.341269478,6.76240043,1.230654641,4.634920756,2.5634917,5.413194081,7.547619532,3.730654641,3.642857264
